# model_name=layerwise_exchange_client_2
# seed=1
# started_at=20260408-102140
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.8004144154725856,0.7978299260139465,0.1518745828335258,0.5463865141976963,0.010676156729459763,0.0,0.022900763899087906,0.007272727321833372,0.0,0.0,0.6546052694320679,0.5066179633140564,0.3607214391231537,0.10782609134912491,0.0,0.8782673478126526,0.6867064833641052,0.8928459882736206,0.5896748304367065,0.27843910455703735,0.3980593979358673,0.4938994348049164,0.32521137595176697,0.18520723283290863,0.6523649096488953,0.6295755505561829
2,0.4216546138661998,0.4247216173518258,0.7451304441148584,0.7484910054640337,0.9695852398872375,0.9597197771072388,0.999035656452179,1.0,0.4608599841594696,0.5847952961921692,0.7285068035125732,0.6427586674690247,0.5039095878601074,0.6740740537643433,0.6731898188591003,0.99513179063797,0.9924777150154114,1.0,1.0,0.5298008918762207,0.5841473340988159,0.7449114918708801,0.594681441783905,0.4073100686073303,0.7143774628639221,0.6705628633499146
3,0.34842611109714927,0.352478702377282,0.7765426527370106,0.8101531754840504,0.9780621528625488,0.9615384340286255,1.0,1.0,0.7742719054222107,0.5683512687683105,0.7167832255363464,0.6460376977920532,0.5578358173370361,0.6736474633216858,0.6654412150382996,0.999993622303009,0.9943374991416931,1.0,1.0,0.9633522629737854,0.579679548740387,0.7761180996894836,0.6754601001739502,0.5509437918663025,0.7052412629127502,0.6665587425231934
4,0.3131112701881194,0.31798205632160814,0.7915021831339056,0.8272669315338135,0.9628942608833313,0.9606298804283142,1.0,1.0,0.9667673707008362,0.5519713163375854,0.7312320470809937,0.6453952193260193,0.5451295971870422,0.6739328503608704,0.6685714721679688,1.0,0.9998405575752258,1.0,1.0,0.9901102781295776,0.5870513916015625,0.8018327951431274,0.6971374154090881,0.6435150504112244,0.7087084650993347,0.6717402935028076
5,0.3005214474166227,0.30371597868306127,0.8041049946438182,0.8417452302846041,0.9628942608833313,0.96425461769104,1.0,0.9990884065628052,0.9876543283462524,0.5950280427932739,0.733493447303772,0.6561378836631775,0.6024096608161926,0.6762589812278748,0.667935311794281,1.0,0.9999439716339111,1.0,1.0,0.9965382218360901,0.5894901752471924,0.8121762275695801,0.7471023201942444,0.7243955731391907,0.7097916603088379,0.6797593832015991
6,0.29301703602877105,0.2971173178012913,0.8053958741101351,0.8489705757661299,0.9891501069068909,0.9767441749572754,0.9980732202529907,0.9990884065628052,0.9815950989723206,0.6163982152938843,0.6966136693954468,0.6603235602378845,0.6396867036819458,0.6590585112571716,0.6426229476928711,1.0,0.9999858140945435,1.0,1.0,0.9975341558456421,0.5958341360092163,0.8232541680335999,0.7714110612869263,0.7616286873817444,0.7097604870796204,0.6792678236961365
7,0.29074877471387534,0.295583863567315,0.8122385415163907,0.8488151431083679,1.0,0.9820051193237305,0.9980732202529907,0.9990884065628052,0.9741248488426208,0.6165083646774292,0.7116154432296753,0.6738350987434387,0.6451613306999207,0.6711296439170837,0.663082480430603,1.0,0.9999971985816956,1.0,1.0,0.9903374314308167,0.5955789685249329,0.8256753087043762,0.7713426351547241,0.7641331553459167,0.7109630703926086,0.6789388060569763
8,0.28944559114777957,0.293754381772067,0.8166473399509083,0.8510712060061368,0.977127194404602,0.9974683523178101,0.999035656452179,0.9990884065628052,0.9922481179237366,0.6185101270675659,0.727498471736908,0.6709916591644287,0.6562091112136841,0.6757493019104004,0.6691943407058716,1.0,1.0,1.0,1.0,0.9917453527450562,0.5991641283035278,0.8236088156700134,0.7732418179512024,0.7686055898666382,0.7173892855644226,0.6880282759666443
9,0.28975757767052407,0.2931469678150121,0.8103354627435858,0.8523797663775358,1.0,0.9957734942436218,0.999035656452179,0.9990884065628052,0.9953343272209167,0.624575674533844,0.6729514002799988,0.6673113703727722,0.6367713212966919,0.6739299893379211,0.6489184498786926,1.0,1.0,1.0,1.0,0.996130108833313,0.5997112393379211,0.8258185386657715,0.7773032188415527,0.7713314890861511,0.7174165844917297,0.6884662508964539
10,0.2898895943806049,0.2954172427176263,0.8090758594599637,0.8504557717930187,0.9628942608833313,0.9705372452735901,1.0,0.9990884065628052,0.9846153855323792,0.6000000238418579,0.7276073098182678,0.6778464317321777,0.6296296715736389,0.679665744304657,0.6679499745368958,1.0,1.0,1.0,1.0,0.995759904384613,0.5970612168312073,0.822828471660614,0.775868833065033,0.76352459192276,0.7153534293174744,0.6846170425415039
11,0.28412213440629264,0.2880941539784224,0.8140099048614502,0.8519796403971586,0.9946042895317078,0.9740932583808899,0.999035656452179,0.9990884065628052,0.9907121062278748,0.6209494471549988,0.6985446810722351,0.6803418397903442,0.6555697917938232,0.6745027303695679,0.6666667461395264,1.0,1.0,1.0,1.0,0.9966558218002319,0.5977756977081299,0.8259076476097107,0.7755284905433655,0.7690325379371643,0.7193857431411743,0.6874901056289673
12,0.2832645018992622,0.2857875738721022,0.8199129104614258,0.8532138087532737,1.0,0.9966216087341309,0.999035656452179,0.9990884065628052,0.9937888383865356,0.6158583760261536,0.7334570288658142,0.6903553009033203,0.6445183157920837,0.6777685284614563,0.6685499548912048,1.0,1.0,1.0,1.0,0.9986622333526611,0.6022050976753235,0.8303111791610718,0.7805541157722473,0.7717426419258118,0.716199517250061,0.6856771111488342
13,0.2799629139142398,0.28376849287150835,0.8172309344465082,0.8528050780296326,0.9864007234573364,1.0,0.999035656452179,0.9990884065628052,0.9953343272209167,0.6052422523498535,0.7308642268180847,0.6843413710594177,0.6455399394035339,0.6732495427131653,0.6704438328742981,1.0,1.0,1.0,1.0,0.9989466071128845,0.5970348715782166,0.8280760645866394,0.7801843285560608,0.771008312702179,0.717681348323822,0.687924325466156
14,0.277992315572165,0.28235098588437496,0.8171435106884349,0.8531330715526234,1.0,0.9966216087341309,0.999035656452179,0.9990884065628052,0.9953343272209167,0.616314172744751,0.7308613061904907,0.6825518608093262,0.6244635581970215,0.6732673645019531,0.6710403561592102,1.0,1.0,1.0,1.0,0.989761233329773,0.5992595553398132,0.8264336585998535,0.779257595539093,0.7684835195541382,0.7263117432594299,0.6949564814567566
15,0.2789439669739646,0.28281717880430896,0.8204806230284951,0.853984838182276,1.0,0.9966216087341309,0.999035656452179,0.9990884065628052,0.9953343272209167,0.6213591694831848,0.7320340871810913,0.6827957034111023,0.6597131490707397,0.675000011920929,0.6643047332763672,1.0,1.0,1.0,0.999921977519989,0.9996567368507385,0.6072231531143188,0.8284975290298462,0.7806504964828491,0.7713865637779236,0.7202067971229553,0.6862899661064148
16,0.2775159672740619,0.28071031837853944,0.8177588419480757,0.8529087034138766,1.0,1.0,0.999035656452179,0.9990884065628052,0.9968847632408142,0.6186186075210571,0.7263863682746887,0.6838709712028503,0.6344207525253296,0.6722269058227539,0.664814829826355,1.0,1.0,1.0,1.0,0.9978898167610168,0.6015089750289917,0.8255706429481506,0.7779635190963745,0.7703663110733032,0.720375120639801,0.6883213520050049
17,0.27891401338110927,0.28234669580727745,0.81788724119013,0.8555145155299794,1.0,0.9837467670440674,0.999035656452179,0.9990884065628052,0.9968847632408142,0.6114068031311035,0.7235621809959412,0.686619758605957,0.6485207080841064,0.6787564754486084,0.6691381335258484,1.0,1.0,1.0,1.0,0.9971487522125244,0.6088917255401611,0.8272666931152344,0.7828729152679443,0.7739821076393127,0.7272895574569702,0.6932079195976257
18,0.2754781330710227,0.2805704807812544,0.8187921372326937,0.8545145013115623,1.0,1.0,0.999035656452179,0.9990884065628052,0.9922481179237366,0.6012759208679199,0.7314702272415161,0.6855753660202026,0.6619217395782471,0.6755629181861877,0.6605351567268372,1.0,1.0,1.0,1.0,0.9817346334457397,0.6064358353614807,0.8313556909561157,0.7824742794036865,0.776660680770874,0.7263194918632507,0.6946789026260376
19,0.27566035029940616,0.281335097726225,0.8177924318747087,0.8543709462339227,1.0,0.9957734942436218,0.999035656452179,0.9990884065628052,0.9907121062278748,0.6053231954574585,0.7323943376541138,0.6922435164451599,0.6375545859336853,0.6744394898414612,0.6691519618034363,1.0,1.0,1.0,1.0,0.9885861277580261,0.6068133115768433,0.8284837007522583,0.7810757756233215,0.7723733186721802,0.726600170135498,0.6941480040550232
