# model_name=local_baseline_client_3
# seed=5
# started_at=20260320-173116
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.4954648959738826,0.5134444330252853,0.724055447361686,0.7523661011999304,0.8927444815635681,0.944444477558136,0.9407665729522705,0.9575971961021423,0.4595588445663452,0.5518518686294556,0.6942529082298279,0.6532846689224243,0.5642856955528259,0.6509275436401367,0.6548956632614136,0.9921208024024963,0.9769865870475769,1.0,1.0,0.4973438084125519,0.5467115640640259,0.6562086939811707,0.7411253452301025,0.5048486590385437,0.6829163432121277,0.6777653098106384
2,0.39362940775866606,0.40862572777505013,0.7614238533106717,0.7918539047241211,0.9679715037345886,0.9644128084182739,0.9981515407562256,0.9831776022911072,0.6086956858634949,0.5100401639938354,0.7234042882919312,0.6744791269302368,0.6215277910232544,0.64716637134552,0.6766355037689209,0.9891047477722168,0.9804145097732544,1.0,0.9995021224021912,0.6350135803222656,0.5508495569229126,0.695643424987793,0.7656651139259338,0.6943346261978149,0.6946550607681274,0.7052102088928223
3,0.36563403078216966,0.39739588253638325,0.7645488598129966,0.8173216093670238,0.9381107687950134,0.9204152226448059,0.9800363183021545,0.9679849743843079,0.6763848662376404,0.5365853905677795,0.6874154806137085,0.7105665802955627,0.6679763793945312,0.6578947901725769,0.6666666865348816,0.9981728196144104,0.9797255992889404,1.0,0.9975210428237915,0.7450277805328369,0.5529220104217529,0.7761882543563843,0.798444390296936,0.7500916719436646,0.6941977143287659,0.698246419429779
4,0.3537163635581331,0.37177427317581924,0.7789211219007318,0.8060036626729098,0.9789473414421082,0.9664903283119202,0.9981515407562256,1.0,0.6666666865348816,0.5970588326454163,0.707379162311554,0.7062600255012512,0.6507936716079712,0.652482271194458,0.6439024806022644,0.995791494846344,0.9926685690879822,1.0,1.0,0.746601402759552,0.5553054809570312,0.7593457102775574,0.786614716053009,0.6815949082374573,0.6807816028594971,0.6673364043235779
5,0.32803476206967414,0.3706999824327581,0.785000817342238,0.8293226252902638,0.9660107493400574,0.9790940880775452,1.0,0.99815833568573,0.7043188810348511,0.5586592555046082,0.7116104960441589,0.7170370817184448,0.6666666269302368,0.6594203114509583,0.6740331649780273,0.9963095188140869,0.9979539513587952,1.0,1.0,0.8247676491737366,0.5584690570831299,0.7827828526496887,0.7990255355834961,0.7569869756698608,0.6961717009544373,0.7100816369056702
6,0.3210766164077539,0.36096710609454735,0.7781871232119474,0.8339707472107627,0.9733570218086243,0.966131865978241,1.0,1.0,0.6900959014892578,0.5413534045219421,0.6979695558547974,0.7106108665466309,0.6693547964096069,0.644518256187439,0.6666666865348816,0.9974513053894043,0.9966267347335815,1.0,1.0,0.8005338311195374,0.5479503870010376,0.8068913817405701,0.8122110962867737,0.8162051439285278,0.6945471167564392,0.7012612223625183
7,0.30992999705719687,0.35365842545733733,0.7928834991021589,0.8362641768022017,0.9679715037345886,0.9807355403900146,0.9906890392303467,0.99815833568573,0.824561357498169,0.5975609421730042,0.715883731842041,0.6873977184295654,0.6337761282920837,0.6557970643043518,0.6691871285438538,0.992558479309082,0.9935342073440552,0.9999178647994995,1.0,0.8885283470153809,0.5494797825813293,0.7963577508926392,0.7922356128692627,0.7986294031143188,0.6863263845443726,0.7013381123542786
8,0.2987291227975995,0.3317144168358223,0.8010798205028881,0.850157233801755,0.9678571224212646,0.966131865978241,1.0,1.0,0.9051987528800964,0.5523465871810913,0.7082802653312683,0.7283951044082642,0.6520875096321106,0.6563040018081665,0.6752768158912659,0.9943554997444153,0.9937619566917419,1.0,1.0,0.9640780091285706,0.5468870997428894,0.8140184283256531,0.8194900751113892,0.8058033585548401,0.6986665725708008,0.7146685719490051
9,0.3098767748150423,0.35900167448847903,0.7841033718802712,0.84718472849239,0.9823943972587585,0.9807355403900146,0.9981515407562256,0.9944953918457031,0.7715355753898621,0.5561497211456299,0.7178898453712463,0.6846590638160706,0.614310622215271,0.6594089865684509,0.6654064059257507,0.9983112215995789,0.9965451955795288,1.0,1.0,0.9941888451576233,0.5472245216369629,0.7989482283592224,0.7936043739318848,0.7984927892684937,0.6919750571250916,0.699741780757904
10,0.28287764993408465,0.31801051018284815,0.8078255924311551,0.8507112806493585,0.9771528840065002,0.966131865978241,0.9963099360466003,1.0,0.9659442901611328,0.5969696640968323,0.7168893814086914,0.7004910707473755,0.6708595156669617,0.6480836868286133,0.6472492218017578,0.9952374696731567,0.9880744218826294,1.0,1.0,0.9944462776184082,0.5413647294044495,0.8021211624145508,0.8162522912025452,0.8110246062278748,0.6967374682426453,0.7125656604766846
11,0.2773886293792958,0.3067425682264216,0.8083505793051287,0.8498455123467878,0.9630873203277588,0.9752650260925293,0.992647111415863,1.0,0.9590643644332886,0.6240929365158081,0.6657894849777222,0.6953405141830444,0.6989010572433472,0.6617862582206726,0.6558822989463806,0.9984527826309204,0.9970136284828186,0.999958872795105,1.0,0.9927822947502136,0.5596777200698853,0.7955811619758606,0.799485445022583,0.8077840805053711,0.6915798187255859,0.7059848308563232
12,0.2901021364342189,0.33480711135209773,0.7853138013319536,0.8504377928647128,0.9846678376197815,0.9788732528686523,0.9890109896659851,1.0,0.9190937876701355,0.48289740085601807,0.7154639363288879,0.676616907119751,0.5685425400733948,0.661264181137085,0.6620209813117981,0.9996213912963867,0.994827926158905,1.0,1.0,0.9892460107803345,0.5423080325126648,0.8025842905044556,0.808907687664032,0.8051448464393616,0.6922782063484192,0.7198973298072815
13,0.27973004577355404,0.3189982865370956,0.8044011376120828,0.8556083874268965,0.9660107493400574,0.969911515712738,1.0,1.0,0.9408284425735474,0.5807560086250305,0.7164835929870605,0.7013782262802124,0.6356877088546753,0.6581817865371704,0.6791744828224182,0.9974598288536072,0.9945999979972839,1.0,1.0,0.9857193231582642,0.5562646389007568,0.8151388764381409,0.817786455154419,0.8109557032585144,0.7011165022850037,0.7326509356498718
14,0.2669109435093155,0.307111077448901,0.8080768205902793,0.8494065295566212,0.9734513759613037,0.9770722985267639,0.9981515407562256,0.9962962865829468,0.9534883499145508,0.6064516305923462,0.6934022903442383,0.7140600085258484,0.6582278609275818,0.6638655066490173,0.6543778777122498,0.997188925743103,0.9964746236801147,1.0,0.9999864101409912,0.9911572933197021,0.5563623905181885,0.8026249408721924,0.8124702572822571,0.793624758720398,0.6862634420394897,0.7073187828063965
