client_id,num_nodes_total,num_owned,num_ghost,num_edges,num_cross_edges
0,2103,1598,505,5198,856
1,2216,1660,556,5475,919
2,2203,1659,544,5479,911
3,2135,1659,476,5424,795
4,2156,1591,565,5213,945
