task,num_witnesses_checked,num_perfectly_split,perfect_split_rate,avg_distinct_clients_per_witness,min_distinct_clients_seen
cycle2,887,886,0.9988726042841037,1.9988726042841036,1
cycle3,1321,1271,0.9621498864496594,2.962149886449659,2
cycle4,2290,1809,0.7899563318777293,3.782532751091703,2
cycle5,4247,2118,0.49870496821285615,4.429008712032022,2
cycle6,8373,2272,0.2713483817030933,5.024483458736415,2
scatter_gather,2618,1777,0.6787624140565317,3.660427807486631,2
biclique,2550,1643,0.644313725490196,3.6243137254901963,2
