client_id,num_nodes_total,num_owned,num_ghost,num_edges,num_cross_edges
0,3131,546,2585,3345,3289
1,3038,546,2492,3198,3142
2,3195,545,2650,3469,3407
3,3019,544,2475,3198,3149
4,3017,545,2472,3140,3075
5,3019,543,2476,3182,3124
6,3058,544,2514,3240,3196
7,3057,545,2512,3217,3162
8,3028,545,2483,3183,3125
9,3143,544,2599,3344,3301
10,2938,546,2392,3093,3042
11,3012,542,2470,3132,3091
12,3016,545,2471,3202,3143
13,3103,546,2557,3278,3233
14,3004,541,2463,3140,3091
