epoch,layer,remote_total,remote_served,coverage_pct,bytes_communicated_mb
20,3,505813,505813,100.0000,123.4895
20,4,505813,505813,100.0000,123.4895
20,5,505813,505813,100.0000,123.4895
20,total,3034878,3034878,100.0000,740.9370
21,0,509566,509566,100.0000,124.4058
21,1,509566,509566,100.0000,124.4058
21,2,509566,509566,100.0000,124.4058
21,3,509566,509566,100.0000,124.4058
21,4,509566,509566,100.0000,124.4058
21,5,509566,509566,100.0000,124.4058
21,total,3057396,3057396,100.0000,746.4346
22,0,514674,514674,100.0000,125.6528
22,1,514674,514674,100.0000,125.6528
22,2,514674,514674,100.0000,125.6528
22,3,514674,514674,100.0000,125.6528
22,4,514674,514674,100.0000,125.6528
22,5,514674,514674,100.0000,125.6528
22,total,3088044,3088044,100.0000,753.9170
23,0,510415,510415,100.0000,124.6130
23,1,510415,510415,100.0000,124.6130
23,2,510415,510415,100.0000,124.6130
23,3,510415,510415,100.0000,124.6130
23,4,510415,510415,100.0000,124.6130
23,5,510415,510415,100.0000,124.6130
23,total,3062490,3062490,100.0000,747.6782
24,0,506525,506525,100.0000,123.6633
24,1,506525,506525,100.0000,123.6633
24,2,506525,506525,100.0000,123.6633
24,3,506525,506525,100.0000,123.6633
24,4,506525,506525,100.0000,123.6633
24,5,506525,506525,100.0000,123.6633
24,total,3039150,3039150,100.0000,741.9800
