client_id,num_nodes_total,num_owned,num_ghost,num_edges,num_cross_edges
0,4125,819,3306,4686,4575
1,4194,817,3377,4769,4650
2,4147,816,3331,4745,4622
3,4258,817,3441,4847,4728
4,4156,817,3339,4623,4506
5,4325,815,3510,4970,4855
6,4272,819,3453,4905,4774
7,4151,815,3336,4612,4503
8,4196,815,3381,4840,4717
9,4257,817,3440,4941,4794
