client,num_clients,train_cycle2,val_cycle2,test_cycle2,train_val_shift,train_test_shift,val_test_shift
0,10,19.53601986169815,19.434194266796112,18.55921894311905,0.10182559490203857,0.9768009185791016,0.874975323677063
1,10,18.971848487854004,19.926650822162628,18.780487775802612,0.9548023343086243,0.1913607120513916,1.1461630463600159
2,10,21.200980246067047,18.115055561065674,19.65811997652054,3.0859246850013733,1.5428602695465088,1.5430644154548645
3,10,18.84944885969162,20.098039507865906,19.386503100395203,1.2485906481742859,0.5370542407035828,0.7115364074707031
4,10,18.115055561065674,17.99265593290329,19.117647409439087,0.12239962816238403,1.002591848373413,1.1249914765357971
5,10,20.981594920158386,20.710784196853638,18.315018713474274,0.27081072330474854,2.6665762066841125,2.395765483379364
6,10,21.12332135438919,19.070903956890106,20.34313678741455,2.0524173974990845,0.7801845669746399,1.2722328305244446
7,10,16.441717743873596,18.43711882829666,20.63882052898407,1.9954010844230652,4.197102785110474,2.2017017006874084
8,10,19.263803958892822,18.995098769664764,19.55990195274353,0.26870518922805786,0.296097993850708,0.5648031830787659
9,10,20.930232107639313,19.19315457344055,19.19315457344055,1.737077534198761,1.737077534198761,0.0
