client,num_clients,train_cycle2,val_cycle2,test_cycle2,train_val_shift,train_test_shift,val_test_shift
0,15,19.23076957464218,15.750916302204132,19.744057953357697,3.4798532724380493,0.5132883787155151,3.9931416511535645
1,15,21.24542146921158,20.292504131793976,16.911764442920685,0.9529173374176025,4.3336570262908936,3.380739688873291
2,15,20.917430520057678,18.819187581539154,19.449540972709656,2.098242938518524,1.4678895473480225,0.6303533911705017
3,15,18.75,22.38532155752182,17.032967507839203,3.63532155752182,1.7170324921607971,5.352354049682617
4,15,16.880734264850616,15.596330165863037,17.216117680072784,1.2844040989875793,0.33538341522216797,1.6197875142097473
5,15,21.915285289287567,20.512820780277252,17.67955869436264,1.402464509010315,4.235726594924927,2.833262085914612
6,15,20.955882966518402,19.63302791118622,20.955882966518402,1.3228550553321838,0.0,1.3228550553321838
7,15,16.880734264850616,23.853211104869843,24.358974397182465,6.972476840019226,7.478240132331848,0.5057632923126221
8,15,20.36697268486023,16.17647111415863,21.978022158145905,4.190501570701599,1.611049473285675,5.801551043987274
9,15,21.875,20.183485746383667,20.879121124744415,1.691514253616333,0.9958788752555847,0.6956353783607483
10,15,18.131868541240692,17.896679043769836,20.810313522815704,0.2351894974708557,2.678444981575012,2.913634479045868
11,15,18.63468587398529,20.810313522815704,16.146789491176605,2.175627648830414,2.4878963828086853,4.663524031639099
12,15,21.10091745853424,17.830882966518402,16.17647111415863,3.2700344920158386,4.92444634437561,1.6544118523597717
13,15,17.582418024539948,20.183485746383667,21.284404397010803,2.6010677218437195,3.7019863724708557,1.1009186506271362
14,15,18.66913139820099,18.014705181121826,19.669117033481598,0.6544262170791626,0.9999856352806091,1.6544118523597717
