# model_name=local_baseline_client_0
# seed=2
# started_at=20260320-194745
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.5585417363233182,0.5603085806518248,0.6923508698290045,0.6960401399569078,0.9869452118873596,0.9069766998291016,0.9560439586639404,0.8542372584342957,0.37037035822868347,0.49514564871788025,0.6895605325698853,0.5306859016418457,0.5276073813438416,0.64462810754776,0.6536585092544556,0.9996687173843384,0.9656378030776978,1.0,0.980454683303833,0.3800278902053833,0.4517725110054016,0.6812764406204224,0.47593653202056885,0.3627515137195587,0.6788583993911743,0.6800570487976074
2,0.4660708661917802,0.4773827909113287,0.6782898144288496,0.7298431613228538,0.8584474325180054,0.8396226167678833,0.8832487463951111,0.8413098454475403,0.4011799693107605,0.5638945698738098,0.6351931691169739,0.5662336945533752,0.5368731617927551,0.6533665657043457,0.6818181872367859,0.9928529858589172,0.9828619956970215,1.0,0.998702347278595,0.4461486041545868,0.5387872457504272,0.739317774772644,0.5602370500564575,0.41587814688682556,0.6710437536239624,0.6824448704719543
3,0.38814569949667094,0.40622278294720493,0.7375144091519442,0.7413321462544528,0.9569892287254333,0.9435027837753296,0.9747898578643799,0.9970149397850037,0.5272727012634277,0.5378973484039307,0.7213675379753113,0.6127659678459167,0.5333333611488342,0.6393442749977112,0.6683804988861084,0.9936822652816772,0.979455292224884,1.0,1.0,0.5694990158081055,0.5719524025917053,0.7347779273986816,0.5486966371536255,0.407471239566803,0.6652787327766418,0.6838400959968567
4,0.3644591253319066,0.38245328387497984,0.7544852007519115,0.7690556184812025,0.9560440182685852,0.9518413543701172,0.9942528605461121,1.0,0.639053225517273,0.5607064366340637,0.7275803089141846,0.6431372761726379,0.5367088317871094,0.632478654384613,0.6575342416763306,0.990097165107727,0.9836551547050476,0.9999341368675232,1.0,0.7246829867362976,0.5336412787437439,0.782497763633728,0.6201696991920471,0.47936591506004333,0.6674928069114685,0.6780748963356018
5,0.34388443205382796,0.3597271369272099,0.7692386724732139,0.7706164853139357,0.9565218091011047,0.9518413543701172,0.9971346855163574,0.9940476417541504,0.7350426912307739,0.5668202638626099,0.7443478107452393,0.6498951315879822,0.5589041113853455,0.6371191143989563,0.6699507832527161,0.9907358288764954,0.9864230155944824,1.0,1.0,0.7859452366828918,0.5404993295669556,0.7633196115493774,0.6081032752990723,0.455204576253891,0.6626278162002563,0.6839226484298706
6,0.33096758273494986,0.349249759327361,0.7726944847540422,0.7892876050689004,0.9586776494979858,0.9467786550521851,1.0,0.9940476417541504,0.781818151473999,0.5882353186607361,0.730434775352478,0.6454545259475708,0.5564738512039185,0.6345608830451965,0.6631578803062439,0.9938598871231079,0.9877103567123413,1.0,1.0,0.8439280986785889,0.5686912536621094,0.7821869254112244,0.6378437280654907,0.5069091320037842,0.6572108268737793,0.703823447227478
7,0.32261447297347773,0.33989831019233874,0.7841256640174172,0.8045880957083269,0.9615384340286255,0.9518413543701172,0.9971346855163574,0.9970149397850037,0.800000011920929,0.5766234397888184,0.745233952999115,0.6770601272583008,0.6213017106056213,0.6345608830451965,0.6630727648735046,0.9855843782424927,0.9862174391746521,1.0,1.0,0.86683189868927,0.5709880590438843,0.8001614212989807,0.7106044888496399,0.5721051692962646,0.6643654704093933,0.6936107277870178
8,0.33582449428764455,0.3516955980996946,0.7797374996272001,0.8088753873651678,0.9560440182685852,0.9577465057373047,0.9971346855163574,0.9970149397850037,0.6771653890609741,0.5929648280143738,0.7562724351882935,0.7044917345046997,0.6453489065170288,0.634831428527832,0.6580976247787476,0.9917612075805664,0.9922503232955933,1.0,1.0,0.9082297086715698,0.5687463879585266,0.8073158860206604,0.7068045139312744,0.5702940225601196,0.6595215201377869,0.6927056908607483
9,0.31020935136319955,0.33480096889502836,0.7795443534851074,0.8066390265117992,0.9615384340286255,0.9518413543701172,0.9971346855163574,0.9970149397850037,0.8115942478179932,0.56456458568573,0.7371695041656494,0.6574803590774536,0.5965770483016968,0.6386554837226868,0.6614172458648682,0.9962985515594482,0.9894038438796997,1.0,1.0,0.911051332950592,0.5796095132827759,0.7958953380584717,0.6948170065879822,0.5544129014015198,0.656020998954773,0.6955198049545288
10,0.2994789011749156,0.31648718764930417,0.793986277146773,0.8202409039844166,0.964383602142334,0.9488636255264282,0.9971346855163574,1.0,0.8686869144439697,0.6112359762191772,0.7332053780555725,0.6902654767036438,0.6206896901130676,0.6361446380615234,0.663239061832428,0.9908738136291504,0.9901583194732666,1.0,1.0,0.9338263869285583,0.5933284163475037,0.8093491792678833,0.750418484210968,0.6152109503746033,0.6484885811805725,0.6909958124160767
