task,num_witnesses_checked,num_perfectly_split,perfect_split_rate,avg_distinct_clients_per_witness,min_distinct_clients_seen
cycle2,887,885,0.9977452085682075,1.9977452085682075,1
cycle3,1321,1118,0.846328538985617,2.841029523088569,1
cycle4,2290,1917,0.837117903930131,2.834934497816594,1
cycle5,4247,3706,0.8726159642100306,2.8726159642100306,2
cycle6,8373,7693,0.918786575898722,2.918786575898722,2
scatter_gather,2618,1705,0.6512605042016807,2.644385026737968,1
biclique,2550,1518,0.5952941176470589,2.589019607843137,1
