client_id,num_nodes_total,num_owned,num_ghost,num_edges,num_cross_edges
0,832,832,0,2173,0
1,832,832,0,2218,0
2,832,832,0,2206,0
3,832,832,0,2258,0
4,831,831,0,2198,0
5,770,770,0,2111,0
6,770,770,0,2022,0
7,831,831,0,2179,0
8,831,831,0,2176,0
9,831,831,0,2303,0
