# model_name=layerwise_exchange_sync_sgd_bwd_client_7
# seed=1
# started_at=20260531-180138
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.5758422227466807,0.5769345213695126,0.7026265995068983,0.7461038854989138,0.956250011920929,0.9560440182685852,0.9009009003639221,0.8246445059776306,0.41447368264198303,0.565517246723175,0.6872727274894714,0.5652173757553101,0.5635103583335876,0.6222221851348877,0.6728395819664001,0.975376307964325,0.9647209048271179,0.9996938109397888,1.0,0.4431559443473816,0.5681895017623901,0.7440871596336365,0.7245057225227356,0.47296348214149475,0.6661524176597595,0.6482974886894226
2,0.4216356312527376,0.4128709869599913,0.7552932148629968,0.7859094088727777,0.9625000357627869,0.9617486596107483,1.0,0.9914529919624329,0.4717607796192169,0.5852534770965576,0.7265625,0.7015944719314575,0.615384578704834,0.6319018602371216,0.6600660085678101,0.994152307510376,0.9889115691184998,1.0,1.0,0.48333102464675903,0.5990211367607117,0.7931700944900513,0.7827979922294617,0.5846010446548462,0.7143452167510986,0.7046731114387512
3,0.3901067779344671,0.3638755755420109,0.7691370682282881,0.8226834752342918,0.9785932898521423,0.9728261232376099,0.9966777563095093,1.0,0.5276595950126648,0.5945945978164673,0.6727688312530518,0.7322834730148315,0.6809651255607605,0.643478274345398,0.6606606841087341,0.9995658993721008,0.9985273480415344,1.0,1.0,0.5414490699768066,0.6175976395606995,0.8205203413963318,0.8230168223381042,0.8099238276481628,0.7278879880905151,0.7110292911529541
4,0.33200692955185385,0.33082043844691955,0.7954571788961237,0.8490846319632097,0.9625000357627869,0.9756097793579102,1.0,0.9971346855163574,0.7242798209190369,0.6333333849906921,0.7304015755653381,0.7006651759147644,0.7147334814071655,0.6567164063453674,0.6546546220779419,0.9998543858528137,0.9986264705657959,1.0,0.9997660517692566,0.7439923882484436,0.6286399960517883,0.8170378804206848,0.828628659248352,0.8423723578453064,0.7426576018333435,0.7383551597595215
5,0.32398198807940765,0.3092219088068764,0.8046411384235729,0.8606150421229276,0.9592476487159729,0.9865951538085938,1.0,0.9971346855163574,0.8347826600074768,0.6465256810188293,0.6790697574615479,0.7198443412780762,0.7121662497520447,0.6574585437774658,0.658227801322937,0.9993613958358765,1.0,1.0,0.9996628165245056,0.8044852018356323,0.7207661867141724,0.8360857963562012,0.8258477449417114,0.8316754698753357,0.7200358510017395,0.7288450002670288
6,0.30349983800860014,0.2970215595339324,0.8105705813928084,0.8733275099234148,0.9592476487159729,0.9756097793579102,1.0,0.9971346855163574,0.7905138731002808,0.6771160364151001,0.7095344066619873,0.7272727489471436,0.7162534594535828,0.6888217329978943,0.6747720241546631,0.999893069267273,0.9999721646308899,1.0,0.9999341368675232,0.8083422780036926,0.7828436493873596,0.8392188549041748,0.8421991467475891,0.8561083674430847,0.7360319495201111,0.7420589923858643
7,0.30043726458269004,0.2846279616843271,0.8163360248912465,0.8811963417313315,0.9625000357627869,0.9728261232376099,1.0,0.9971346855163574,0.8333333730697632,0.695906400680542,0.6881719827651978,0.7524752020835876,0.7154472470283508,0.6738545298576355,0.6880466938018799,0.9999282956123352,1.0,1.0,1.0,0.8684705495834351,0.7760648727416992,0.8178327083587646,0.8615097999572754,0.875055193901062,0.7666711807250977,0.727627158164978
8,0.2824021420058082,0.2637364534218667,0.836843425577337,0.892522849819877,0.9847095012664795,0.9973474740982056,0.9966777563095093,0.9971346855163574,0.8928571939468384,0.7547169923782349,0.740890622138977,0.7701612710952759,0.7282913327217102,0.6758241653442383,0.6666666865348816,0.9995747208595276,0.9999721646308899,1.0,0.9982085824012756,0.9404057860374451,0.8195255994796753,0.8309879899024963,0.8661773800849915,0.868606448173523,0.7607247829437256,0.7335678935050964
9,0.2879920540487065,0.26140916901837835,0.8395263606851752,0.8887430429458618,1.0,0.989304780960083,0.9966777563095093,0.9971346855163574,0.9473684430122375,0.7318435907363892,0.7295081615447998,0.7225806713104248,0.7341040968894958,0.7036011219024658,0.6826666593551636,1.0,0.9999721646308899,1.0,1.0,0.9484032988548279,0.7821632623672485,0.8394681811332703,0.8485914468765259,0.8687676191329956,0.7572645545005798,0.7315429449081421
10,0.2870282074984382,0.26317343722281095,0.8306055177341808,0.8957686640999534,0.9721361994743347,0.9946808218955994,1.0,0.9971346855163574,0.9049773812294006,0.7344632744789124,0.7061504125595093,0.7555556297302246,0.7142857313156128,0.6863904595375061,0.6708860993385315,1.0,1.0,1.0,1.0,0.9549498558044434,0.8067966103553772,0.849623441696167,0.8662328124046326,0.8647469282150269,0.765981912612915,0.7451237440109253
11,0.2783294749610564,0.2490905857272789,0.8466455936431885,0.8994731307029724,0.9878048896789551,0.9838709831237793,1.0,0.9971346855163574,0.9478673338890076,0.7536231279373169,0.7532468438148499,0.7683168649673462,0.7428571581840515,0.6898550391197205,0.688524603843689,0.9998567700386047,1.0,1.0,1.0,0.9392558336257935,0.807127833366394,0.8715086579322815,0.8706725835800171,0.8930469155311584,0.7670347094535828,0.7457011342048645
12,0.27619995965677147,0.24483082299403722,0.845667611468922,0.9074003858999773,0.9815950989723206,1.0,0.9966777563095093,0.9971346855163574,0.8999999761581421,0.8483145833015442,0.7596566081047058,0.7562379837036133,0.7365590929985046,0.6826347708702087,0.6435331702232361,1.0,1.0,0.9999558329582214,1.0,0.9505868554115295,0.8898918628692627,0.8636958003044128,0.8737062215805054,0.8839744925498962,0.7740397453308105,0.7455534338951111
13,0.26088790507877574,0.23556172691326774,0.8533595854585821,0.9067563685503873,0.9878048896789551,0.9919999837875366,1.0,0.9971346855163574,0.943396270275116,0.8463611602783203,0.7429805397987366,0.7631027102470398,0.7492795586585999,0.6862170100212097,0.6786786317825317,0.9999282956123352,1.0,1.0,1.0,0.953834593296051,0.8928887844085693,0.8608383536338806,0.8593255877494812,0.88027423620224,0.7765694260597229,0.75066077709198
