epoch,layer,remote_total,remote_served,coverage_pct,bytes_communicated_mb
20,5,30075,29388,97.7157,7.1748
20,total,180450,176328,97.7157,43.0488
21,0,29986,29296,97.6989,7.1523
21,1,29986,29296,97.6989,7.1523
21,2,29986,29296,97.6989,7.1523
21,3,29986,29296,97.6989,7.1523
21,4,29986,29296,97.6989,7.1523
21,5,29986,29296,97.6989,7.1523
21,total,179916,175776,97.6989,42.9141
22,0,30271,29849,98.6059,7.2874
22,1,30271,29849,98.6059,7.2874
22,2,30271,29849,98.6059,7.2874
22,3,30271,29849,98.6059,7.2874
22,4,30271,29849,98.6059,7.2874
22,5,30271,29849,98.6059,7.2874
22,total,181626,179094,98.6059,43.7241
23,0,30085,29468,97.9491,7.1943
23,1,30085,29468,97.9491,7.1943
23,2,30085,29468,97.9491,7.1943
23,3,30085,29468,97.9491,7.1943
23,4,30085,29468,97.9491,7.1943
23,5,30085,29468,97.9491,7.1943
23,total,180510,176808,97.9491,43.1660
24,0,30046,29440,97.9831,7.1875
24,1,30046,29440,97.9831,7.1875
24,2,30046,29440,97.9831,7.1875
24,3,30046,29440,97.9831,7.1875
24,4,30046,29440,97.9831,7.1875
24,5,30046,29440,97.9831,7.1875
24,total,180276,176640,97.9831,43.1250
25,0,30034,29359,97.7525,7.1677
25,1,30034,29359,97.7525,7.1677
25,2,30034,29359,97.7525,7.1677
25,3,30034,29359,97.7525,7.1677
25,4,30034,29359,97.7525,7.1677
25,5,30034,29359,97.7525,7.1677
25,total,180204,176154,97.7525,43.0063
26,0,30059,29471,98.0438,7.1951
26,1,30059,29471,98.0438,7.1951
26,2,30059,29471,98.0438,7.1951
26,3,30059,29471,98.0438,7.1951
26,4,30059,29471,98.0438,7.1951
26,5,30059,29471,98.0438,7.1951
26,total,180354,176826,98.0438,43.1704
27,0,29982,29285,97.6753,7.1497
27,1,29982,29285,97.6753,7.1497
27,2,29982,29285,97.6753,7.1497
27,3,29982,29285,97.6753,7.1497
27,4,29982,29285,97.6753,7.1497
27,5,29982,29285,97.6753,7.1497
27,total,179892,175710,97.6753,42.8979
28,0,30212,29730,98.4046,7.2583
28,1,30212,29730,98.4046,7.2583
28,2,30212,29730,98.4046,7.2583
28,3,30212,29730,98.4046,7.2583
28,4,30212,29730,98.4046,7.2583
28,5,30212,29730,98.4046,7.2583
28,total,181272,178380,98.4046,43.5498
29,0,30115,29571,98.1936,7.2195
29,1,30115,29571,98.1936,7.2195
29,2,30115,29571,98.1936,7.2195
29,3,30115,29571,98.1936,7.2195
29,4,30115,29571,98.1936,7.2195
29,5,30115,29571,98.1936,7.2195
29,total,180690,177426,98.1936,43.3169
30,0,30226,29833,98.6998,7.2834
30,1,30226,29833,98.6998,7.2834
30,2,30226,29833,98.6998,7.2834
30,3,30226,29833,98.6998,7.2834
30,4,30226,29833,98.6998,7.2834
