timestamp_iso,setting,num_clients,client_id,deg-in_pos_pct,deg-out_pos_pct,fan-in_pos_pct,fan-out_pos_pct,C2_pos_pct,C3_pos_pct,C4_pos_pct,C5_pos_pct,C6_pos_pct,S-G_pos_pct,B-C_pos_pct
2026-03-29T21:07:15,local_labels_10clients_with_cross_edges,10,6,34.31,34.07,31.5,31.37,20.34,1.23,6.13,1.1,1.35,4.29,4.17
2026-03-29T21:07:15,local_labels_10clients_with_cross_edges,10,7,33.66,37.84,32.31,34.89,20.64,0.98,5.04,1.47,1.23,3.69,5.9
2026-03-29T21:07:15,local_labels_10clients_with_cross_edges,10,8,34.11,34.84,31.17,31.54,19.56,0.24,5.13,2.32,3.67,4.16,4.77
2026-03-29T21:07:15,local_labels_10clients_with_cross_edges,10,9,39.12,35.21,36.43,32.15,19.19,0.73,6.6,1.83,2.32,5.26,6.6
2026-03-29T21:07:15,global_labels_per_client_15clients_with_cross_edges,15,0,34.55,36.38,32.18,32.54,19.74,36.2,53.38,73.86,82.45,34.19,32.54
2026-03-29T21:07:15,global_labels_per_client_15clients_with_cross_edges,15,1,29.78,31.99,27.21,30.33,16.91,29.41,45.96,62.68,72.06,29.23,26.29
2026-03-29T21:07:15,global_labels_per_client_15clients_with_cross_edges,15,2,37.06,35.96,33.58,34.13,19.45,34.31,52.48,69.91,78.9,31.19,32.66
2026-03-29T21:07:15,global_labels_per_client_15clients_with_cross_edges,15,3,34.62,34.98,32.78,33.7,17.03,33.88,53.48,66.48,75.64,30.77,31.87
2026-03-29T21:07:15,global_labels_per_client_15clients_with_cross_edges,15,4,37.55,34.62,36.08,32.6,17.22,33.33,52.01,64.84,78.94,30.04,34.98
2026-03-29T21:07:15,global_labels_per_client_15clients_with_cross_edges,15,5,31.49,33.52,28.91,30.94,17.68,29.47,51.93,65.19,74.59,30.02,31.68
2026-03-29T21:07:15,global_labels_per_client_15clients_with_cross_edges,15,6,35.11,35.48,31.8,31.99,20.96,33.27,52.57,67.65,77.76,30.15,31.25
2026-03-29T21:07:15,global_labels_per_client_15clients_with_cross_edges,15,7,39.74,38.1,37.0,36.26,24.36,36.45,58.61,73.26,85.71,33.52,32.42
2026-03-29T21:07:15,global_labels_per_client_15clients_with_cross_edges,15,8,35.71,35.53,34.07,31.68,21.98,34.8,53.11,69.41,83.52,31.32,33.33
2026-03-29T21:07:15,global_labels_per_client_15clients_with_cross_edges,15,9,33.33,36.26,31.5,32.05,20.88,33.33,51.28,69.78,79.67,28.39,30.04
2026-03-29T21:07:15,global_labels_per_client_15clients_with_cross_edges,15,10,36.28,35.54,34.25,32.23,20.81,32.6,54.33,68.88,78.08,31.12,34.25
2026-03-29T21:07:15,global_labels_per_client_15clients_with_cross_edges,15,11,34.68,35.96,31.93,33.39,16.15,33.03,51.01,66.61,77.43,28.44,30.64
2026-03-29T21:07:15,global_labels_per_client_15clients_with_cross_edges,15,12,31.43,36.95,28.68,33.82,16.18,32.72,50.0,65.81,77.94,29.78,31.25
2026-03-29T21:07:15,global_labels_per_client_15clients_with_cross_edges,15,13,36.7,37.25,33.76,34.5,21.28,33.76,50.64,66.97,80.18,33.21,37.06
2026-03-29T21:07:15,global_labels_per_client_15clients_with_cross_edges,15,14,36.03,32.54,33.27,28.86,19.67,31.8,49.63,67.1,74.45,31.25,31.62
2026-03-29T21:07:15,local_labels_15clients_with_cross_edges,15,0,34.55,36.38,32.18,32.54,19.74,0.37,2.93,0.55,2.93,2.56,1.65
2026-03-29T21:07:15,local_labels_15clients_with_cross_edges,15,1,29.78,31.99,27.21,30.33,16.91,0.37,2.57,0.0,1.65,2.39,1.84
2026-03-29T21:07:15,local_labels_15clients_with_cross_edges,15,2,37.06,35.96,33.58,34.13,19.45,0.73,3.85,1.1,2.75,3.67,2.57
2026-03-29T21:07:15,local_labels_15clients_with_cross_edges,15,3,34.62,34.98,32.78,33.7,17.03,0.73,1.47,1.28,0.55,2.56,3.48
2026-03-29T21:07:15,local_labels_15clients_with_cross_edges,15,4,37.55,34.62,36.08,32.6,17.22,1.47,2.2,0.0,2.2,2.01,4.58
2026-03-29T21:07:15,local_labels_15clients_with_cross_edges,15,5,31.49,33.52,28.91,30.94,17.68,0.37,2.58,1.1,1.1,2.39,3.31
2026-03-29T21:07:15,local_labels_15clients_with_cross_edges,15,6,35.11,35.48,31.8,31.99,20.96,1.1,4.23,0.55,1.29,1.65,2.57
2026-03-29T21:07:15,local_labels_15clients_with_cross_edges,15,7,39.74,38.1,37.0,36.26,24.36,0.37,4.76,0.0,1.1,2.56,2.2
2026-03-29T21:07:15,local_labels_15clients_with_cross_edges,15,8,35.71,35.53,34.07,31.68,21.98,1.47,2.93,0.0,0.55,3.3,2.56
2026-03-29T21:07:15,local_labels_15clients_with_cross_edges,15,9,33.33,36.26,31.5,32.05,20.88,0.0,2.93,0.55,2.2,1.83,2.56
2026-03-29T21:07:15,local_labels_15clients_with_cross_edges,15,10,36.28,35.54,34.25,32.23,20.81,1.84,4.05,1.66,1.1,2.39,4.05
2026-03-29T21:07:15,local_labels_15clients_with_cross_edges,15,11,34.68,35.96,31.93,33.39,16.15,1.1,2.94,0.55,0.0,2.94,3.49
2026-03-29T21:07:15,local_labels_15clients_with_cross_edges,15,12,31.43,36.95,28.68,33.82,16.18,0.0,3.12,0.55,0.0,2.94,1.65
2026-03-29T21:07:15,local_labels_15clients_with_cross_edges,15,13,36.7,37.25,33.76,34.5,21.28,1.1,3.67,2.75,2.57,3.3,5.14
2026-03-29T21:07:15,local_labels_15clients_with_cross_edges,15,14,36.03,32.54,33.27,28.86,19.67,1.47,0.74,0.0,0.55,1.84,1.47
